Table Name,State Code,District Code,India/States,Division,Group,Class,NIC Name,Main Workers - Total -  Persons,Main Workers - Total - Males,Main Workers - Total - Females,Main Workers - Rural -  Persons,Main Workers - Rural - Males,Main Workers - Rural - Females,Main Workers - Urban -  Persons,Main Workers - Urban - Males,Main Workers - Urban - Females,Marginal Workers - Total -  Persons,Marginal Workers - Total - Males,Marginal Workers - Total - Females,Marginal Workers - Rural -  Persons,Marginal Workers - Rural - Males,Marginal Workers - Rural - Females,Marginal Workers - Urban -  Persons,Marginal Workers - Urban - Males,Marginal Workers - Urban - Females
B0118,`08,`119,District - Ajmer,`95,`952,`0000,Repair of personal and household goods,4480,4245,235,1202,1146,56,3278,3099,179,391,328,63,174,150,24,217,178,39
B0118,`08,`119,District - Ajmer,`95,`952,`9521,Repair of consumer electronics,798,736,62,166,150,16,632,586,46,55,40,15,14,8,6,41,32,9
B0118,`08,`119,District - Ajmer,`95,`952,`9522,Repair of household appliances and home and garden equipment,378,335,43,56,32,24,322,303,19,51,33,18,32,14,18,19,19,0
B0118,`08,`119,District - Ajmer,`95,`952,`9523,Repair of footwear and leather goods,503,499,4,62,60,2,441,439,2,49,47,2,20,20,0,29,27,2
B0118,`08,`119,District - Ajmer,`95,`952,`9524,Repair of furniture and home furnishings,18,18,0,6,6,0,12,12,0,5,5,0,0,0,0,5,5,0
B0118,`08,`119,District - Ajmer,`95,`952,`9529,"Repair of personal and household goods, n.e.c.",2783,2657,126,912,898,14,1871,1759,112,231,203,28,108,108,0,123,95,28
B0118,`08,`119,District - Ajmer,`96,`000,`0000,Other personal service activities,9920,7746,2174,3138,2838,300,6782,4908,1874,1494,1051,443,724,562,162,770,489,281
B0118,`08,`119,District - Ajmer,`96,`960,`0000,Other personal service activities,9920,7746,2174,3138,2838,300,6782,4908,1874,1494,1051,443,724,562,162,770,489,281
B0118,`08,`119,District - Ajmer,`96,`960,`9601,Washing and (dry-) cleaning of textile and fur products,2065,1353,712,212,132,80,1853,1221,632,159,74,85,34,14,20,125,60,65
B0118,`08,`119,District - Ajmer,`96,`960,`9602,Hairdressing and other beauty treatment,3512,2997,515,1390,1332,58,2122,1665,457,287,206,81,108,92,16,179,114,65
B0118,`08,`119,District - Ajmer,`96,`960,`9603,Funeral and related activities,12,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
B0118,`08,`119,District - Ajmer,`96,`960,`9609,Other personal service activities n.e.c.,4331,3384,947,1536,1374,162,2795,2010,785,1048,771,277,582,456,126,466,315,151
B0118,`08,`119,District - Ajmer,`97,`000,`0000,Activities of households as employers of domestic personnel,1625,330,1295,284,88,196,1341,242,1099,445,58,387,176,26,150,269,32,237
B0118,`08,`119,District - Ajmer,`97,`970,`0000,Activities of households as employers of domestic personnel,1625,330,1295,284,88,196,1341,242,1099,445,58,387,176,26,150,269,32,237
B0118,`08,`119,District - Ajmer,`97,`970,`9700,Activities of households as employers of domestic personnel,1625,330,1295,284,88,196,1341,242,1099,445,58,387,176,26,150,269,32,237
B0118,`08,`119,District - Ajmer,`99,`000,`0000,Activities of extraterritorial organizations and bodies,17506,11422,6084,7422,4444,2978,10084,6978,3106,9253,4040,5213,5830,2402,3428,3423,1638,1785
B0118,`08,`119,District - Ajmer,`99,`990,`0000,Activities of extraterritorial organizations and bodies,3,3,0,0,0,0,3,3,0,3,0,3,0,0,0,3,0,3
B0118,`08,`119,District - Ajmer,`99,`990,`9900,Activities of extraterritorial organizations and bodies,3,3,0,0,0,0,3,3,0,3,0,3,0,0,0,3,0,3
B0118,`08,`119,District - Ajmer,`99,`991,`0000,Blank,13288,8832,4456,5486,3490,1996,7802,5342,2460,6778,3266,3512,3900,1864,2036,2878,1402,1476
B0118,`08,`119,District - Ajmer,`99,`991,`9910,Blank,13288,8832,4456,5486,3490,1996,7802,5342,2460,6778,3266,3512,3900,1864,2036,2878,1402,1476
B0118,`08,`119,District - Ajmer,`99,`992,`0000,Incomplete description/ Wrongly Classifed,4215,2587,1628,1936,954,982,2279,1633,646,2472,774,1698,1930,538,1392,542,236,306
B0118,`08,`119,District - Ajmer,`99,`992,`9920,Incomplete description/ Wrongly Classifed,4215,2587,1628,1936,954,982,2279,1633,646,2472,774,1698,1930,538,1392,542,236,306
B0118,`08,`120,District - Tonk,`00,`000,`0000,Total,167328,134804,32524,85918,69970,15948,81410,64834,16576,42378,21846,20532,31238,15286,15952,11140,6560,4580
B0118,`08,`120,District - Tonk,`01,`000,`0000,"Crop and animal production, hunting and related service activities",8320,4950,3370,7224,4198,3026,1096,752,344,5572,1530,4042,5294,1438,3856,278,92,186
B0118,`08,`120,District - Tonk,`01,`011,`0000,Growing of non-perennial crops,310,224,86,76,46,30,234,178,56,120,34,86,90,22,68,30,12,18
B0118,`08,`120,District - Tonk,`01,`011,`0111,"Growing of cereals (except rice), leguminous crops and oil seeds",260,186,74,74,44,30,186,142,44,84,34,50,54,22,32,30,12,18
B0118,`08,`120,District - Tonk,`01,`011,`0113,"Growing of vegetables and melons, roots and tubers",50,38,12,2,2,0,48,36,12,36,0,36,36,0,36,0,0,0
B0118,`08,`120,District - Tonk,`01,`012,`0000,Growing of perennial crops,16,14,2,16,14,2,0,0,0,12,6,6,12,6,6,0,0,0
B0118,`08,`120,District - Tonk,`01,`012,`0123,Growing of citrus fruits,0,0,0,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`01,`012,`0126,Growing of oleaginous fruits,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`01,`012,`0129,Growing of other perennial crops,10,8,2,10,8,2,0,0,0,6,0,6,6,0,6,0,0,0
B0118,`08,`120,District - Tonk,`01,`013,`0000,Plant propagation,34,32,2,30,30,0,4,2,2,2,0,2,0,0,0,2,0,2
B0118,`08,`120,District - Tonk,`01,`013,`0130,Plant propagation,34,32,2,30,30,0,4,2,2,2,0,2,0,0,0,2,0,2
B0118,`08,`120,District - Tonk,`01,`014,`0000,Animal production,7172,4132,3040,6744,3890,2854,428,242,186,4566,1164,3402,4434,1116,3318,132,48,84
B0118,`08,`120,District - Tonk,`01,`014,`0141,Raising of cattle and buffaloes,4688,2264,2424,4374,2102,2272,314,162,152,3596,782,2814,3512,770,2742,84,12,72
B0118,`08,`120,District - Tonk,`01,`014,`0142,Raising of horses and other equines,6,6,0,6,6,0,0,0,0,6,0,6,6,0,6,0,0,0
B0118,`08,`120,District - Tonk,`01,`014,`0143,Raising and breeding of camels and camelids,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
B0118,`08,`120,District - Tonk,`01,`014,`0144,Raising of sheep and goats,2436,1828,608,2338,1764,574,98,64,34,932,366,566,896,336,560,36,30,6
B0118,`08,`120,District - Tonk,`01,`014,`0145,Raising of swine/pigs,14,14,0,12,12,0,2,2,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`01,`014,`0146,Raising of poultry,22,14,8,14,6,8,8,8,0,12,2,10,12,2,10,0,0,0
B0118,`08,`120,District - Tonk,`01,`014,`0149,Raising of other animals,6,6,0,0,0,0,6,6,0,12,6,6,0,0,0,12,6,6
B0118,`08,`120,District - Tonk,`01,`015,`0000,Mixed farming,74,52,22,54,32,22,20,20,0,90,30,60,90,30,60,0,0,0
B0118,`08,`120,District - Tonk,`01,`015,`0150,Mixed farming,74,52,22,54,32,22,20,20,0,90,30,60,90,30,60,0,0,0
B0118,`08,`120,District - Tonk,`01,`016,`0000,Support activities to agriculture and post-harvest crop activities,714,496,218,304,186,118,410,310,100,782,296,486,668,264,404,114,32,82
B0118,`08,`120,District - Tonk,`01,`016,`0161,Support activities for crop production,218,150,68,82,36,46,136,114,22,254,82,172,216,70,146,38,12,26
B0118,`08,`120,District - Tonk,`01,`016,`0162,Support activities for animal production,6,0,6,0,0,0,6,0,6,24,0,24,18,0,18,6,0,6
B0118,`08,`120,District - Tonk,`01,`016,`0163,Post-harvest crop activities,490,346,144,222,150,72,268,196,72,504,214,290,434,194,240,70,20,50
B0118,`08,`120,District - Tonk,`02,`000,`0000,Forestry and logging,428,328,100,320,230,90,108,98,10,240,104,136,210,92,118,30,12,18
B0118,`08,`120,District - Tonk,`02,`021,`0000,Silviculture and other forestry activities,28,28,0,16,16,0,12,12,0,14,6,8,14,6,8,0,0,0
B0118,`08,`120,District - Tonk,`02,`021,`0210,Silviculture and other forestry activities,28,28,0,16,16,0,12,12,0,14,6,8,14,6,8,0,0,0
B0118,`08,`120,District - Tonk,`02,`022,`0000,Logging,232,144,88,196,112,84,36,32,4,200,84,116,176,72,104,24,12,12
B0118,`08,`120,District - Tonk,`02,`022,`0220,Logging,232,144,88,196,112,84,36,32,4,200,84,116,176,72,104,24,12,12
B0118,`08,`120,District - Tonk,`02,`023,`0000,Gathering of non-wood forest products,38,26,12,20,14,6,18,12,6,12,6,6,12,6,6,0,0,0
B0118,`08,`120,District - Tonk,`02,`023,`0230,Gathering of non-wood forest products,38,26,12,20,14,6,18,12,6,12,6,6,12,6,6,0,0,0
B0118,`08,`120,District - Tonk,`02,`024,`0000,Support services to forestry,130,130,0,88,88,0,42,42,0,14,8,6,8,8,0,6,0,6
B0118,`08,`120,District - Tonk,`02,`024,`0240,Support services to forestry,130,130,0,88,88,0,42,42,0,14,8,6,8,8,0,6,0,6
B0118,`08,`120,District - Tonk,`03,`000,`0000,Fishing and aquaculture,72,72,0,24,24,0,48,48,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`03,`031,`0000,Fishing,30,30,0,0,0,0,30,30,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`03,`031,`0311,Marine fishing,18,18,0,0,0,0,18,18,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`03,`031,`0312,Freash water fishing,12,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`03,`032,`0000,Aquaculture,42,42,0,24,24,0,18,18,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`03,`032,`0322,Freshwater aquaculture,42,42,0,24,24,0,18,18,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`05,`000,`0000,Mining of coal and lignite,18,12,6,12,6,6,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`05,`051,`0000,Mining of hard coal,12,6,6,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`05,`051,`0510,Mining of hard coal,12,6,6,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`05,`052,`0000,Mining of lignite,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`05,`052,`0520,Mining of lignite,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`07,`000,`0000,Mining of metal ores,4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`07,`072,`0000,Mining of non-ferrous metal ores,4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`07,`072,`0729,Mining of other non-ferrous metal ores,4,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`08,`000,`0000,Other mining and quarrying,994,842,152,516,402,114,478,440,38,312,206,106,246,146,100,66,60,6
B0118,`08,`120,District - Tonk,`08,`081,`0000,"Quarrying of stone, sand and clay",426,382,44,218,180,38,208,202,6,148,112,36,102,72,30,46,40,6
B0118,`08,`120,District - Tonk,`08,`081,`0810,"Quarrying of stone, sand and clay",426,382,44,218,180,38,208,202,6,148,112,36,102,72,30,46,40,6
B0118,`08,`120,District - Tonk,`08,`089,`0000,Mining and quarrying n.e.c.,568,460,108,298,222,76,270,238,32,164,94,70,144,74,70,20,20,0
B0118,`08,`120,District - Tonk,`08,`089,`0892,Extraction and agglomeration of peat,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`08,`089,`0893,Extraction of salt,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
B0118,`08,`120,District - Tonk,`08,`089,`0899,Other mining and quarrying n.e.c.,566,458,108,296,220,76,270,238,32,162,92,70,142,72,70,20,20,0
B0118,`08,`120,District - Tonk,`09,`000,`0000,Mining support service activities,50,44,6,40,34,6,10,10,0,36,18,18,36,18,18,0,0,0
B0118,`08,`120,District - Tonk,`09,`099,`0000,Support activities for other mining and quarrying,50,44,6,40,34,6,10,10,0,36,18,18,36,18,18,0,0,0
B0118,`08,`120,District - Tonk,`09,`099,`0990,Support activities for other mining and quarrying,50,44,6,40,34,6,10,10,0,36,18,18,36,18,18,0,0,0
B0118,`08,`120,District - Tonk,`10,`000,`0000,Manufacture of food products,3436,2774,662,1946,1544,402,1490,1230,260,812,412,400,622,288,334,190,124,66
B0118,`08,`120,District - Tonk,`10,`101,`0000,Processing and preserving of meat,54,48,6,18,18,0,36,30,6,4,0,4,4,0,4,0,0,0
B0118,`08,`120,District - Tonk,`10,`101,`1010,Processing and preserving of meat,54,48,6,18,18,0,36,30,6,4,0,4,4,0,4,0,0,0
B0118,`08,`120,District - Tonk,`10,`102,`0000,"Processing and preserving of fish, crustaceans and molluscs",6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`10,`102,`1020,"Processing and preserving of fish, crustaceans and molluscs and",6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`10,`103,`0000,Processing and preserving of fruit and vegetables,44,32,12,14,8,6,30,24,6,18,4,14,12,4,8,6,0,6
B0118,`08,`120,District - Tonk,`10,`103,`1030,Processing and preserving of fruit and vegetables,44,32,12,14,8,6,30,24,6,18,4,14,12,4,8,6,0,6
B0118,`08,`120,District - Tonk,`10,`104,`0000,Manufacture of vegetable and animal oils and fats,546,486,60,226,212,14,320,274,46,78,60,18,48,36,12,30,24,6
B0118,`08,`120,District - Tonk,`10,`104,`1040,Manufacture of vegetable and animal oils and fats,546,486,60,226,212,14,320,274,46,78,60,18,48,36,12,30,24,6
B0118,`08,`120,District - Tonk,`10,`105,`0000,Manufacture of dairy products,524,266,258,390,218,172,134,48,86,332,112,220,282,88,194,50,24,26
B0118,`08,`120,District - Tonk,`10,`105,`1050,Manufacture of dairy products,524,266,258,390,218,172,134,48,86,332,112,220,282,88,194,50,24,26
B0118,`08,`120,District - Tonk,`10,`106,`0000,"Manufacture of grain mill products, starches and starch products",932,766,166,682,528,154,250,238,12,144,64,80,116,48,68,28,16,12
B0118,`08,`120,District - Tonk,`10,`106,`1061,Manufacture of grain mill products,926,760,166,682,528,154,244,232,12,144,64,80,116,48,68,28,16,12
B0118,`08,`120,District - Tonk,`10,`106,`1062,Manufacture of starches and starch products,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`10,`107,`0000,Manufacture of other food products,1312,1156,156,614,558,56,698,598,100,236,172,64,160,112,48,76,60,16
B0118,`08,`120,District - Tonk,`10,`107,`1071,Manufacture of bakery products,90,76,14,10,8,2,80,68,12,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`10,`107,`1072,Manufacture of sugar,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`10,`107,`1073,"Manufacture of cocoa, chocolate and sugar confectionery",524,506,18,284,282,2,240,224,16,116,106,10,76,76,0,40,30,10
B0118,`08,`120,District - Tonk,`10,`107,`1075,Manufacture of prepared meals and dishes,560,480,80,286,242,44,274,238,36,88,42,46,74,28,46,14,14,0
B0118,`08,`120,District - Tonk,`10,`107,`1079,Manufacture of other food products n.e.c.,132,88,44,34,26,8,98,62,36,32,24,8,10,8,2,22,16,6
B0118,`08,`120,District - Tonk,`10,`108,`0000,Manufacture of prepared animal feeds,18,14,4,2,2,0,16,12,4,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`10,`108,`1080,Manufacture of prepared animal feeds,18,14,4,2,2,0,16,12,4,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`11,`000,`0000,Manufacture of beverages,48,48,0,24,24,0,24,24,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`11,`110,`0000,Manufacture of beverages,48,48,0,24,24,0,24,24,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`11,`110,`1104,Manufacture of soft drinks; production of mineral waters and other,48,48,0,24,24,0,24,24,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`12,`000,`0000,Manufacture of tobacco products,8286,1452,6834,88,2,86,8198,1450,6748,1740,146,1594,114,12,102,1626,134,1492
B0118,`08,`120,District - Tonk,`12,`120,`0000,Manufacture of tobacco products,8286,1452,6834,88,2,86,8198,1450,6748,1740,146,1594,114,12,102,1626,134,1492
B0118,`08,`120,District - Tonk,`12,`120,`1200,Manufacture of tobacco products,8286,1452,6834,88,2,86,8198,1450,6748,1740,146,1594,114,12,102,1626,134,1492
B0118,`08,`120,District - Tonk,`13,`000,`0000,Manufacture of textiles,3642,2906,736,780,544,236,2862,2362,500,838,434,404,300,130,170,538,304,234
B0118,`08,`120,District - Tonk,`13,`131,`0000,"Spinning, weaving and finishing of textiles",558,382,176,352,240,112,206,142,64,200,92,108,182,86,96,18,6,12
B0118,`08,`120,District - Tonk,`13,`131,`1311,Preparation and spinning of textile fibres,320,212,108,232,152,80,88,60,28,146,56,90,130,50,80,16,6,10
B0118,`08,`120,District - Tonk,`13,`131,`1312,Weaving of textiles,110,60,50,68,36,32,42,24,18,40,22,18,38,22,16,2,0,2
B0118,`08,`120,District - Tonk,`13,`131,`1313,Finishing of textiles,128,110,18,52,52,0,76,58,18,14,14,0,14,14,0,0,0,0
B0118,`08,`120,District - Tonk,`13,`139,`0000,Manufacture of other textiles,3084,2524,560,428,304,124,2656,2220,436,638,342,296,118,44,74,520,298,222
B0118,`08,`120,District - Tonk,`13,`139,`1391,Manufacture of knitted and crocheted fabrics,8,8,0,6,6,0,2,2,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`13,`139,`1392,"Manufacture of made-up textile articles, except apparel",56,20,36,24,6,18,32,14,18,24,12,12,18,6,12,6,6,0
B0118,`08,`120,District - Tonk,`13,`139,`1393,Manufacture of carpets and rugs,1020,846,174,120,80,40,900,766,134,204,76,128,38,12,26,166,64,102
B0118,`08,`120,District - Tonk,`13,`139,`1394,"Manufacture of cordage, rope, twine and netting",52,44,8,10,8,2,42,36,6,16,6,10,16,6,10,0,0,0
B0118,`08,`120,District - Tonk,`13,`139,`1399,Manufacture of other textiles n.e.c.,1948,1606,342,268,204,64,1680,1402,278,394,248,146,46,20,26,348,228,120
B0118,`08,`120,District - Tonk,`14,`000,`0000,Manufacture of wearing apparel,4788,3642,1146,1930,1368,562,2858,2274,584,1042,324,718,672,166,506,370,158,212
B0118,`08,`120,District - Tonk,`14,`141,`0000,"Manufacture of wearing apparel, except fur apparel",4788,3642,1146,1930,1368,562,2858,2274,584,1038,322,716,668,164,504,370,158,212
B0118,`08,`120,District - Tonk,`14,`141,`1410,"Manufacture of wearing apparel, except fur apparel",4788,3642,1146,1930,1368,562,2858,2274,584,1038,322,716,668,164,504,370,158,212
B0118,`08,`120,District - Tonk,`14,`142,`0000,Manufacture of articles of fur,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
B0118,`08,`120,District - Tonk,`14,`142,`1420,Manufacture of articles of fur,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0
B0118,`08,`120,District - Tonk,`14,`143,`0000,Manufacture of knitted and crocheted apparel,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
B0118,`08,`120,District - Tonk,`14,`143,`1430,Manufacture of knitted and crocheted apparel,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0
B0118,`08,`120,District - Tonk,`15,`000,`0000,Manufacture of leather and related products,494,424,70,292,254,38,202,170,32,124,94,30,100,70,30,24,24,0
B0118,`08,`120,District - Tonk,`15,`151,`0000,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery",74,54,20,22,14,8,52,40,12,46,34,12,40,28,12,6,6,0
B0118,`08,`120,District - Tonk,`15,`151,`1511,Tanning and dressing of leather; dressing and dyeing of fur,60,46,14,8,6,2,52,40,12,46,34,12,40,28,12,6,6,0
B0118,`08,`120,District - Tonk,`15,`151,`1512,"Manufacture of luggage, handbags and the like, saddlery and harness",14,8,6,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`15,`152,`0000,Manufacture of footwear,420,370,50,270,240,30,150,130,20,78,60,18,60,42,18,18,18,0
B0118,`08,`120,District - Tonk,`15,`152,`1520,Manufacture of footwear,420,370,50,270,240,30,150,130,20,78,60,18,60,42,18,18,18,0
B0118,`08,`120,District - Tonk,`16,`000,`0000,"Manufacture of wood and products of wood and cork, except furniture;",1038,890,148,666,582,84,372,308,64,302,162,140,246,144,102,56,18,38
B0118,`08,`120,District - Tonk,`16,`161,`0000,Sawmilling and planing of wood,284,268,16,142,130,12,142,138,4,26,24,2,26,24,2,0,0,0
B0118,`08,`120,District - Tonk,`16,`161,`1610,Saw milling and planing of wood,284,268,16,142,130,12,142,138,4,26,24,2,26,24,2,0,0,0
B0118,`08,`120,District - Tonk,`16,`162,`0000,"Manufacture of products of wood, cork, straw and plaiting materials",754,622,132,524,452,72,230,170,60,276,138,138,220,120,100,56,18,38
B0118,`08,`120,District - Tonk,`16,`162,`1621,"Manufacture of veneer sheets; manufacture of plywood, laminboard,",6,6,0,6,6,0,0,0,0,2,2,0,2,2,0,0,0,0
B0118,`08,`120,District - Tonk,`16,`162,`1622,Manufacture of builders’ carpentry and joinery,324,322,2,242,240,2,82,82,0,60,60,0,54,54,0,6,6,0
B0118,`08,`120,District - Tonk,`16,`162,`1623,Manufacture of wooden containers,110,82,28,66,62,4,44,20,24,26,6,20,26,6,20,0,0,0
B0118,`08,`120,District - Tonk,`16,`162,`1629,"Manufacture of other products of wood; manufacture of articles of cork,",314,212,102,210,144,66,104,68,36,188,70,118,138,58,80,50,12,38
B0118,`08,`120,District - Tonk,`17,`000,`0000,Manufacture of paper and paper products,128,98,30,42,20,22,86,78,8,8,6,2,6,6,0,2,0,2
B0118,`08,`120,District - Tonk,`17,`170,`0000,Manufacture of paper and paper products,128,98,30,42,20,22,86,78,8,8,6,2,6,6,0,2,0,2
B0118,`08,`120,District - Tonk,`17,`170,`1701,"Manufacture of pulp, paper and paperboard",22,14,8,16,8,8,6,6,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`17,`170,`1702,Manufacture of corrugated paper and paperboard and containers of,38,24,14,8,0,8,30,24,6,2,0,2,0,0,0,2,0,2
B0118,`08,`120,District - Tonk,`17,`170,`1709,Manufacture of other articles of paper and paperboard,68,60,8,18,12,6,50,48,2,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`18,`000,`0000,Printing and reproduction of recorded media,98,90,8,38,32,6,60,58,2,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`18,`181,`0000,Printing and service activities related to printing,98,90,8,38,32,6,60,58,2,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`18,`181,`1811,Printing,72,72,0,32,32,0,40,40,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`18,`181,`1812,Service activities related to printing,26,18,8,6,0,6,20,18,2,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`19,`000,`0000,Manufacture of coke and refined petroleum products,88,78,10,82,72,10,6,6,0,44,36,8,44,36,8,0,0,0
B0118,`08,`120,District - Tonk,`19,`191,`0000,Manufacture of coke oven products,24,18,6,24,18,6,0,0,0,24,24,0,24,24,0,0,0,0
B0118,`08,`120,District - Tonk,`19,`191,`1910,Manufacture of coke oven products,24,18,6,24,18,6,0,0,0,24,24,0,24,24,0,0,0,0
B0118,`08,`120,District - Tonk,`19,`192,`0000,Manufacture of refined petroleum products,64,60,4,58,54,4,6,6,0,20,12,8,20,12,8,0,0,0
B0118,`08,`120,District - Tonk,`19,`192,`1920,Manufacture of refined petroleum products,64,60,4,58,54,4,6,6,0,20,12,8,20,12,8,0,0,0
B0118,`08,`120,District - Tonk,`20,`000,`0000,Manufacture of chemicals and chemical products,308,218,90,116,98,18,192,120,72,56,32,24,32,26,6,24,6,18
B0118,`08,`120,District - Tonk,`20,`201,`0000,"Manufacture of basic chemicals, fertilizer and nitrogen compounds, plastics",18,18,0,0,0,0,18,18,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`20,`201,`2011,Manufacture of basic chemicals,18,18,0,0,0,0,18,18,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`20,`202,`0000,Manufacture of other chemical products,290,200,90,116,98,18,174,102,72,50,26,24,26,20,6,24,6,18
B0118,`08,`120,District - Tonk,`20,`202,`2022,"Manufacture of paints, varnishes and similar coatings, printing ink and",98,98,0,38,38,0,60,60,0,2,2,0,2,2,0,0,0,0
B0118,`08,`120,District - Tonk,`20,`202,`2023,"Manufacture of soap and detergents, cleaning and polishing preparations,",192,102,90,78,60,18,114,42,72,48,24,24,24,18,6,24,6,18
B0118,`08,`120,District - Tonk,`21,`000,`0000,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",36,30,6,6,6,0,30,24,6,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`21,`210,`0000,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",36,30,6,6,6,0,30,24,6,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`21,`210,`2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical",36,30,6,6,6,0,30,24,6,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`22,`000,`0000,Manufacture of rubber and plastics products,118,116,2,68,68,0,50,48,2,14,14,0,14,14,0,0,0,0
B0118,`08,`120,District - Tonk,`22,`221,`0000,Manufacture of rubber products,92,90,2,52,52,0,40,38,2,14,14,0,14,14,0,0,0,0
B0118,`08,`120,District - Tonk,`22,`221,`2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of,76,76,0,44,44,0,32,32,0,6,6,0,6,6,0,0,0,0
B0118,`08,`120,District - Tonk,`22,`221,`2219,Manufacture of other rubber products,16,14,2,8,8,0,8,6,2,8,8,0,8,8,0,0,0,0
B0118,`08,`120,District - Tonk,`22,`222,`0000,Manufacture of plastics products,26,26,0,16,16,0,10,10,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`22,`222,`2220,Manufacture of plastics products,26,26,0,16,16,0,10,10,0,0,0,0,0,0,0,0,0,0
B0118,`08,`120,District - Tonk,`23,`000,`0000,Manufacture of other non-metallic mineral products,2648,2100,548,1872,1472,400,776,628,148,898,514,384,778,446,332,120,68,52
B0118,`08,`120,District - Tonk,`23,`231,`0000,Manufacture of glass and glass products,110,42,68,18,6,12,92,36,56,10,2,8,4,2,2,6,0,6
B0118,`08,`120,District - Tonk,`23,`231,`2310,Manufacture of glass and glass products,110,42,68,18,6,12,92,36,56,10,2,8,4,2,2,6,0,6
B0118,`08,`120,District - Tonk,`23,`239,`0000,Manufacture of non-metallic mineral products n.e.c.,2538,2058,480,1854,1466,388,684,592,92,888,512,376,774,444,330,114,68,46
